Diospyros montana,Orissa Semi-evergreen Forests
Ficus benghalensis,Orissa Semi-evergreen Forests
Ficus racemosa,Orissa Semi-evergreen Forests
Grewia tiliifolia,Orissa Semi-evergreen Forests
Haldinia cordifolia,Orissa Semi-evergreen Forests
Lannea coromandelica,Orissa Semi-evergreen Forests
Madhuca indica,Orissa Semi-evergreen Forests
Mallotus philippensis,Orissa Semi-evergreen Forests
Manilkara hexandra,Orissa Semi-evergreen Forests
Michelia champaca,Orissa Semi-evergreen Forests
Morinda tinctoria,Orissa Semi-evergreen Forests
Naringi crenulata,Orissa Semi-evergreen Forests
Protium serratum,Orissa Semi-evergreen Forests
Pterocarpus santalinus,Orissa Semi-evergreen Forests
Schleichera oleosa,Orissa Semi-evergreen Forests
Shorea robusta,Orissa Semi-evergreen Forests
Streblus asper,Orissa Semi-evergreen Forests
Strychnos nux-vomica,Orissa Semi-evergreen Forests
Syzygium cumini,Orissa Semi-evergreen Forests
Terminalia alata,Orissa Semi-evergreen Forests
Terminalia arjuna,Orissa Semi-evergreen Forests
Xantolis tomentosa,Orissa Semi-evergreen Forests
Albizia amara,South Deccan Plateau Dry Deciduous Forests
Anogeissus latifolia,South Deccan Plateau Dry Deciduous Forests
Butea monosperma,South Deccan Plateau Dry Deciduous Forests
Chloroxylon swietenia,South Deccan Plateau Dry Deciduous Forests
Dalbergia latifolia,South Deccan Plateau Dry Deciduous Forests
Deccania pubescens,South Deccan Plateau Dry Deciduous Forests
Diospyros chloroxylon,South Deccan Plateau Dry Deciduous Forests
Diospyros montana,South Deccan Plateau Dry Deciduous Forests
Ficus benghalensis,South Deccan Plateau Dry Deciduous Forests
Ficus glomerata,South Deccan Plateau Dry Deciduous Forests
Ficus mollis,South Deccan Plateau Dry Deciduous Forests
Hildegardia populifolia,South Deccan Plateau Dry Deciduous Forests
Lagerstroemia parviflora,South Deccan Plateau Dry Deciduous Forests
Madhuca longifolia,South Deccan Plateau Dry Deciduous Forests
Mallotus philippensis,South Deccan Plateau Dry Deciduous Forests
Mitragyna parviflora,South Deccan Plateau Dry Deciduous Forests
Phyllanthus emblica,South Deccan Plateau Dry Deciduous Forests
Polyalthia coffeoides,South Deccan Plateau Dry Deciduous Forests
Pongamia pinnata,South Deccan Plateau Dry Deciduous Forests
Premna latifolia,South Deccan Plateau Dry Deciduous Forests
Pterocarpus marsupium,South Deccan Plateau Dry Deciduous Forests
Pterospermum suberifolium,South Deccan Plateau Dry Deciduous Forests
Stereospurmum personatum,South Deccan Plateau Dry Deciduous Forests
Syzygium cumini,South Deccan Plateau Dry Deciduous Forests
Terminalia arjuna,South Deccan Plateau Dry Deciduous Forests
Terminalia bellerica,South Deccan Plateau Dry Deciduous Forests
Terminalia tomentosa,South Deccan Plateau Dry Deciduous Forests
Vitex altissima,South Deccan Plateau Dry Deciduous Forests
Ziziphus xylopyrus,South Deccan Plateau Dry Deciduous Forests
Aporosa lindleyana,South Western Ghats Moist Deciduous Forests
Actinodaphne malabaricum,South Western Ghats Moist Deciduous Forests
Adina cordifolia,South Western Ghats Moist Deciduous Forests
Albizia odoratissima,South Western Ghats Moist Deciduous Forests
Anogeissus latifolia,South Western Ghats Moist Deciduous Forests
Antidesma acidum,South Western Ghats Moist Deciduous Forests
Bischofia javanica,South Western Ghats Moist Deciduous Forests
Bombax ceiba,South Western Ghats Moist Deciduous Forests
Bridelia airy-shawii,South Western Ghats Moist Deciduous Forests
Casearia ovata,South Western Ghats Moist Deciduous Forests
Cassine glauca,South Western Ghats Moist Deciduous Forests
Diospyros sylvatica,South Western Ghats Moist Deciduous Forests
Ficus amplissima,South Western Ghats Moist Deciduous Forests
Ficus drupacea,South Western Ghats Moist Deciduous Forests
Ficus racemosa,South Western Ghats Moist Deciduous Forests
Grewia tiliifolia,South Western Ghats Moist Deciduous Forests
Hopea parviflora,South Western Ghats Moist Deciduous Forests
Hydnocarpus laurifolia,South Western Ghats Moist Deciduous Forests
Lagerstroemia microcarpa,South Western Ghats Moist Deciduous Forests
Lannea coromandelica,South Western Ghats Moist Deciduous Forests
Mallotus tetracoccus,South Western Ghats Moist Deciduous Forests
Polyalthia wightii,South Western Ghats Moist Deciduous Forests
Pterocarpus marsupium,South Western Ghats Moist Deciduous Forests
Schleichera oleosa,South Western Ghats Moist Deciduous Forests
